from,to,relationship,year
fb,aa,2,2013
fb,eha,2,2009
fb,afsfj,2,2013
fb,hbs,3,
fb,efa,2,2009
fb,eu,3,
fb,afaa,2,2009
fb,unim,7,2010
ft,gzssf,3,2021
ft,kfw,3,2020
ft,eu,3,
ft,ha,2,2009
ft,fdp,2,2011
ft,bfdp,2,2020
ft,juli,2,2003
ft,unit,7,2012
rs,kfw,3,2017
rs,bu,2,2013
tl,ua,2,2017
tl,ha,2,2013
tl,eu,3,
bs,eu,3,
bs,ua,2,2017
bs,juli,2,2005
bs,lfdp,2,2013
co,afvudi,2,2017
co,afaa,2,2004
co,aa,2,2013
co,eha,2,2004
co,lg,2,1989
co,gzssf,3,2021
co,awe,2,2013
co,hbs,3,2021
co,ths,3,2018
co,sefepg,3,2021
mt,ths,3,2018
mt,sefepg,3,2018
mt,kfw,3,2020
mt,eu,3,
mt,ha,2,2011
mt,awe,2,2017
mt,juli,2,1983
mt,lfdp,2,1991
mt,bfdp,2,2003
mt,fdp,2,2017
mt,eha,2,2014
mt,afvudi,2,
ck,afvudi,2,2013
ck,bu,2,2021
ck,ha,2,2017
ck,unit,6,2009
ck,unit,7,
jb,fdp,2,2017
jb,afsfj,2,2017
jb,unim,7,2003
jb,eu,3,
